housing_median_age,total_rooms,median_income,ocean_proximity,median_house_value,county,pop_per_household
52.0,112.0,1.975,INLAND,47500.0,Fresno,4.825
43.0,1017.0,2.2604,NEAR BAY,100000.0,Alameda,3.0180505415162453
17.0,2358.0,6.299,<1H OCEAN,285800.0,Los Angeles,3.8104395604395602
17.0,2518.0,1.7199,<1H OCEAN,175000.0,Los Angeles,3.051
50.0,772.0,2.2206,INLAND,59200.0,Fresno,3.62874251497006
11.0,10535.0,6.67,<1H OCEAN,283200.0,Orange,2.718249075215783
14.0,1206.0,8.847,<1H OCEAN,388700.0,Orange,3.838926174496644
17.0,3917.0,5.2586,INLAND,137000.0,Sacramento,3.2074468085106385
10.0,15259.0,6.0666,NEAR BAY,272400.0,Contra Costa,3.1077844311377247
18.0,4356.0,3.6294,<1H OCEAN,240000.0,Santa Clara,1.580722891566265
4.0,1646.0,5.0821,<1H OCEAN,265500.0,Santa Clara,2.080487804878049
31.0,3362.0,3.5089,<1H OCEAN,305800.0,Los Angeles,2.5716180371352784
12.0,7923.0,4.2985,INLAND,139200.0,Riverside,3.5097472924187727
27.0,2203.0,2.4342,INLAND,119500.0,Sacramento,2.3536585365853657
15.0,1945.0,2.0109,INLAND,54300.0,Imperial,1.8864468864468864
20.0,2569.0,2.0114,NEAR OCEAN,104900.0,San Diego,3.3205673758865246
12.0,1984.0,1.2532,INLAND,102100.0,Los Angeles,1.8658536585365855
16.0,3120.0,2.0472,INLAND,93200.0,Calaveras,2.5076045627376424
25.0,4719.0,5.0371,INLAND,180200.0,Sacramento,2.512855209742896
32.0,1691.0,1.8438,INLAND,66600.0,San Bernardino,4.428571428571429
29.0,331.0,0.7069,INLAND,70300.0,San Bernardino,3.1869158878504673
5.0,8149.0,3.6788,INLAND,178800.0,Sacramento,1.8149752475247525
38.0,2265.0,2.5521,<1H OCEAN,157500.0,Los Angeles,3.6603535353535355
11.0,1013.0,4.825,INLAND,184600.0,El Dorado,2.5949367088607596
12.0,932.0,1.4038,INLAND,54300.0,Fresno,4.292181069958848
41.0,857.0,2.6339,<1H OCEAN,145700.0,Los Angeles,4.11453744493392
43.0,2360.0,2.89,INLAND,86200.0,Yolo,2.3030973451327434
15.0,5218.0,4.7083,INLAND,213300.0,El Dorado,2.9575113808801214
6.0,202.0,4.125,INLAND,216700.0,Riverside,2.6785714285714284
9.0,2370.0,5.143,INLAND,176500.0,San Joaquin,2.9248704663212437
33.0,1509.0,1.625,INLAND,50300.0,Tulare,5.160714285714286
24.0,3756.0,3.8571,INLAND,90100.0,Fresno,2.1461434370771313
25.0,3603.0,2.6981,<1H OCEAN,208000.0,Los Angeles,2.978094194961665
42.0,1297.0,5.3074,NEAR OCEAN,401900.0,Los Angeles,2.524793388429752
50.0,2141.0,2.7679,<1H OCEAN,178800.0,Los Angeles,4.171361502347418
44.0,3030.0,2.9054,NEAR BAY,155200.0,Napa,2.359106529209622
43.0,1911.0,4.6369,<1H OCEAN,186400.0,Orange,2.147806004618938
52.0,777.0,4.0208,<1H OCEAN,262500.0,Santa Clara,2.513888888888889
21.0,1519.0,3.2083,<1H OCEAN,145300.0,Orange,3.2868852459016393
18.0,4334.0,6.0653,INLAND,105300.0,Kern,2.6883509833585477
35.0,1335.0,3.6053,<1H OCEAN,345800.0,Santa Clara,2.14527027027027
29.0,2195.0,3.4773,<1H OCEAN,206700.0,Ventura,3.3915211970074814
31.0,4424.0,4.1364,NEAR OCEAN,412000.0,San Mateo,2.343941248470012
7.0,10223.0,5.4872,INLAND,203400.0,Riverside,3.4493041749502984
13.0,2519.0,4.3621,<1H OCEAN,173400.0,Santa Clara,3.950943396226415
38.0,2548.0,2.8352,NEAR OCEAN,408300.0,Orange,1.8922305764411027
52.0,1508.0,4.0234,NEAR BAY,266500.0,San Francisco,3.7434210526315788
33.0,1903.0,2.4071,<1H OCEAN,170500.0,Los Angeles,4.326436781609195
52.0,2363.0,2.944,NEAR BAY,338900.0,Alameda,2.719022687609075
22.0,2756.0,4.1837,NEAR OCEAN,125400.0,San Diego,3.8045267489711936
41.0,1510.0,1.65,<1H OCEAN,94200.0,Los Angeles,3.619537275064267
49.0,1678.0,3.7222,INLAND,237000.0,Los Angeles,2.56794425087108
5.0,5819.0,2.2339,INLAND,116600.0,Sacramento,2.3871681415929205
11.0,2513.0,4.277,INLAND,98500.0,Madera,3.2771084337349397
26.0,3364.0,4.2647,INLAND,133400.0,Contra Costa,3.1908127208480566
31.0,2609.0,1.5479,INLAND,82000.0,Merced,2.8553259141494434
25.0,1026.0,1.5625,INLAND,52800.0,Fresno,4.311475409836065
26.0,2574.0,1.9495,<1H OCEAN,173200.0,Los Angeles,3.9438902743142146
11.0,4833.0,2.6842,INLAND,89100.0,Sutter,2.7776456599286563
26.0,4257.0,3.4047,NEAR OCEAN,294500.0,Santa Barbara,1.9589473684210525
22.0,3280.0,4.4107,<1H OCEAN,232700.0,Santa Clara,2.3169811320754716
25.0,3240.0,6.1815,<1H OCEAN,288500.0,Orange,2.941649899396378
26.0,3298.0,6.8753,<1H OCEAN,403000.0,Santa Clara,2.6292372881355934
52.0,3549.0,3.6912,NEAR BAY,261100.0,Alameda,2.172268907563025
34.0,1588.0,3.66,<1H OCEAN,184600.0,Los Angeles,3.176470588235294
40.0,561.0,0.9234,<1H OCEAN,187500.0,Los Angeles,3.229268292682927
12.0,4014.0,6.0102,<1H OCEAN,396900.0,Orange,2.0871261378413526
18.0,3597.0,5.3077,<1H OCEAN,351400.0,Santa Clara,2.2276559865092747
16.0,2088.0,1.319,<1H OCEAN,70700.0,Humboldt,2.503067484662577
3.0,7105.0,6.1395,<1H OCEAN,358000.0,Orange,2.4721998388396456
41.0,1719.0,2.6923,<1H OCEAN,84200.0,Humboldt,2.511904761904762
17.0,4034.0,8.2069,<1H OCEAN,442500.0,Santa Clara,2.067857142857143
27.0,2521.0,3.0911,INLAND,86900.0,Merced,2.866228070175439
43.0,1823.0,3.2708,<1H OCEAN,131000.0,Los Angeles,3.1140350877192984
33.0,1984.0,3.875,NEAR OCEAN,165100.0,Los Angeles,4.009090909090909
15.0,7803.0,4.45,NEAR BAY,184900.0,Contra Costa,1.9126778783958602
16.0,6568.0,2.3463,<1H OCEAN,156100.0,Monterey,3.8415335463258784
35.0,1293.0,1.6645,INLAND,93300.0,Los Angeles,4.788461538461538
9.0,1944.0,2.066,<1H OCEAN,127200.0,San Diego,4.397350993377484
52.0,1732.0,4.325,<1H OCEAN,292600.0,Los Angeles,2.8135048231511255
11.0,5817.0,4.221,<1H OCEAN,227100.0,Sonoma,2.8972602739726026
52.0,2151.0,1.4034,INLAND,90300.0,Sacramento,1.900497512437811
30.0,2695.0,5.3972,NEAR OCEAN,362300.0,Santa Cruz,2.6142857142857143
52.0,2261.0,4.9083,NEAR BAY,346800.0,Alameda,2.444776119402985
42.0,564.0,4.5625,<1H OCEAN,318800.0,Ventura,2.7160493827160495
21.0,4280.0,5.7072,NEAR BAY,242200.0,Alameda,3.2540381791483113
17.0,3617.0,5.133,<1H OCEAN,324000.0,Orange,2.0595446584938704
9.0,2404.0,5.0198,INLAND,151900.0,San Bernardino,2.9916434540389973
35.0,2943.0,2.6713,INLAND,84400.0,Sacramento,2.8627450980392157
6.0,3856.0,4.5481,NEAR OCEAN,164800.0,San Diego,1.8958333333333333
13.0,1264.0,4.5903,INLAND,94300.0,Kern,2.9518716577540105
31.0,3301.0,3.7303,<1H OCEAN,223800.0,Orange,2.2463343108504397
5.0,906.0,4.3523,INLAND,188200.0,Nevada,2.6666666666666665
41.0,2398.0,3.0352,INLAND,69800.0,San Joaquin,2.574324324324324
16.0,8020.0,4.9716,INLAND,162500.0,San Bernardino,3.238888888888889
15.0,4974.0,6.7606,NEAR OCEAN,364300.0,San Mateo,2.8708010335917313
14.0,3643.0,3.1523,INLAND,141800.0,Stanislaus,2.96987087517934
33.0,2382.0,5.3016,<1H OCEAN,192200.0,Los Angeles,3.442159383033419
12.0,1678.0,6.0532,INLAND,102800.0,Kern,2.7224199288256226
35.0,1577.0,5.7654,<1H OCEAN,343000.0,Los Angeles,2.7116788321167884
40.0,2936.0,2.1139,INLAND,70900.0,San Bernardino,2.9940828402366866
52.0,1264.0,1.7778,NEAR OCEAN,76900.0,Humboldt,2.0809859154929575
25.0,3282.0,4.5313,NEAR BAY,308400.0,Sonoma,2.5755693581780537
31.0,2152.0,2.2478,NEAR OCEAN,81100.0,Humboldt,2.9976190476190476
18.0,1165.0,3.6923,NEAR BAY,213200.0,Alameda,2.6802507836990594
23.0,1703.0,1.3187,<1H OCEAN,127100.0,Los Angeles,3.6925207756232687
20.0,651.0,2.0833,INLAND,77300.0,Stanislaus,2.7880794701986753
38.0,1938.0,6.1089,NEAR BAY,280800.0,Napa,2.887719298245614
26.0,1394.0,4.8862,<1H OCEAN,195000.0,Santa Clara,3.142857142857143
52.0,2163.0,3.3555,NEAR BAY,275000.0,San Francisco,2.65018315018315
22.0,3313.0,0.7473,<1H OCEAN,168800.0,Los Angeles,2.239887111947319
17.0,4461.0,7.6709,<1H OCEAN,319500.0,Orange,3.6120689655172415
16.0,3758.0,3.0,INLAND,122600.0,Calaveras,2.8894308943089433
9.0,2499.0,5.5342,<1H OCEAN,182300.0,Orange,2.0498154981549814
17.0,9044.0,3.6348,<1H OCEAN,164500.0,San Diego,3.1516290726817044
16.0,1497.0,2.8942,INLAND,182500.0,Nevada,3.0329218106995883
16.0,2413.0,6.3017,<1H OCEAN,350000.0,Orange,1.5508274231678487
31.0,1077.0,2.1333,<1H OCEAN,160200.0,Los Angeles,4.372262773722627
43.0,1193.0,2.1518,<1H OCEAN,161600.0,Los Angeles,3.7
20.0,7754.0,8.19,<1H OCEAN,361600.0,Santa Clara,3.287991498405951
34.0,1629.0,3.1458,NEAR OCEAN,178300.0,San Diego,3.1914893617021276
43.0,2752.0,3.6719,<1H OCEAN,161300.0,Los Angeles,2.726384364820847
46.0,2745.0,2.1955,INLAND,26900.0,Kern,2.9522821576763487
26.0,1934.0,3.6765,<1H OCEAN,163600.0,Santa Clara,4.949519230769231
25.0,3305.0,5.0698,INLAND,150900.0,Fresno,2.298
51.0,2378.0,1.577,INLAND,51900.0,Tehama,2.1923076923076925
47.0,3386.0,3.0625,INLAND,141500.0,San Joaquin,1.9838449111470113
34.0,1127.0,2.0583,INLAND,64800.0,San Bernardino,3.8995983935742973
